model,dataset,device,epochs,batch_size,learning_rate,noise_std,accuracy,time_sec,energy_kwh,co2_kg
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.518257360488843,23.79045295715332,2.8546723e-05,8.208139154e-06
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.631943833713713,23.84645986557007,3.1366296e-05,9.018860969e-06
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.661536896190704,22.419576168060303,2.4258311e-05,6.975076989e-06
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.61008482009839,21.91542911529541,2.4780627e-05,7.125260329e-06
