model,dataset,device,epochs,batch_size,learning_rate,noise_std,accuracy,time_sec,co2_kg
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.64999460945495,29.465538024902344,9.669220355759157e-06
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.486152094393113,28.812784910202026,1.188034032254783e-05
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.68946854222697,28.95436429977417,1.2128840707171771e-05
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.789719030118217,29.424346208572388,1.2535828319709602e-05
