model,dataset,batch_size,epochs_from,epochs_to,delta_accuracy,delta_co2,efficiency
DnCNN,TinyImageNet_noisy,16,1,2,0.2516972381591849,7.633874371630896e-05,3297.1100375262326
DnCNN,TinyImageNet_noisy,32,1,2,0.670018388059578,7.546524545233823e-05,8878.502733854397
SimpleNN,MNIST,32,1,3,0.016300000000000092,1.0025474400837346e-06,16258.582235907646
SimpleNN,MNIST,128,1,3,0.0232,5.953797057715725e-07,38966.729593065895
