model,dataset,device,epochs,batch_size,learning_rate,accuracy,time_sec,energy_kwh,co2_kg
SimpleNN,MNIST,mps,3,64,0.001,0.9683,9.30228590965271,4.727537836413376e-07,1.5918281750500933e-07
SimpleNN,MNIST,mps,3,64,0.001,0.9686,9.185244798660278,4.68434739013901e-07,1.5772853471232665e-07
SimpleNN,MNIST,mps,3,64,0.001,0.9703,9.578752040863037,4.950226479195408e-07,1.6668105587158025e-07
SimpleNN,MNIST,mps,3,64,0.001,0.97,9.286283016204834,4.693823615313401e-07,1.5804761248066365e-07
