config,tracker,batch_size,learning_rate,epochs,channels,noise_factor,psnr,ssim,mse,co2_kg,psnr_per_co2,ssim_per_co2
baseline,codecarbon,16,0.0002998338011207,2,128,0.1810517042299099,23.53733035707348,0.7572205,0.00465205546328798,0.00036443700586750175,64.58545641099454,2.0777817
best_psnr,cumulator,8,0.0001469938763738,4,128,0.0539374660499284,30.76848464610362,0.9371153,0.0008604311741073616,0.00048688994992158503,63.19392020927065,1.9246963
best_green,eco2ai,8,0.000417241707767,1,32,0.0820577170685483,27.362976712782938,0.86710674,0.0018784699191572145,3.115459324999535e-05,878.2967086854431,27.832388
best_eco,eco2ai,8,0.000417241707767,1,32,0.0820577170685483,27.027418161154607,0.8590339,0.0020249366571370047,3.11514355304846e-05,867.6138900192298,27.57606
