model,dataset,device,epochs,batch_size,learning_rate,accuracy,time_sec,energy_kwh,co2_kg
SimpleNN,MNIST,mps,3,64,0.001,0.9662,7.740362167358398,4.300200541814168e-05,1.0019467262427013e-05
SimpleNN,MNIST,mps,3,64,0.001,0.9695,7.507036924362183,4.170576069090102e-05,9.717442240979938e-06
SimpleNN,MNIST,mps,3,64,0.001,0.9683,7.509036064147949,4.171686040030585e-05,9.720028473271264e-06
SimpleNN,MNIST,mps,3,64,0.001,0.9704,7.464792013168335,4.1471066739824086e-05,9.662758550379012e-06
