model,dataset,device,epochs,batch_size,learning_rate,noise_std,accuracy,time_sec,energy_kwh,co2_kg
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.63479010975018,25.83632206916809,0.00014353510008917913,3.344367832077874e-05
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.718713888345054,25.25261878967285,0.00014029233190748428,3.2688113334443836e-05
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.583964576355566,25.56501817703247,0.00014202787743674384,3.3092495442761315e-05
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.685438619254114,24.91858983039856,0.00013843660487069024,3.2255728934870826e-05
