config,tracker,batch_size,learning_rate,epochs,accuracy,precision,recall,f1,auc,co2_kg,accuracy_per_co2,f1_per_co2,auc_per_co2
baseline,codecarbon,256,0.000999838598016,6,0.9681,0.96794550156418,0.9678372983519228,0.9678504745326075,0.9990336878072628,1.853640038062302e-06,522.2696853752313,522.1350716087319,538.957762431935
best_accuracy,cumulator,128,0.0026235950396267,5,0.9752,0.9749047528770015,0.975157473833352,0.9749802489203387,0.9995536401001834,1.6843777963248037e-06,578.9674985913799,578.8370343451697,593.4260364199258
best_aer,eco2ai,64,0.0001011483389398,1,0.897,0.8967792891195503,0.8951206306366382,0.8952117852776148,0.9905614395510852,4.2675549143131997e-07,2101.9061638541393,2097.715907948592,2321.145145450006
greenest,eco2ai,64,0.0001011483389398,1,0.8974,0.8969661066503818,0.8956637303314654,0.8956442383037404,0.990294282919068,4.367541544805011e-07,2054.70283164842,2050.682808772329,2267.39521649103
