model,dataset,device,epochs,batch_size,learning_rate,noise_std,accuracy,time_sec,energy_kwh,co2_kg
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.761370649733863,19.650097846984863,5.791959964835768e-07,1.950234007599711e-07
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.761370649733863,19.5189151763916,7.863549470304558e-07,2.647767196344129e-07
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.761370649733863,19.62878108024597,7.92975152356424e-07,2.67005835450541e-07
DnCNN,TinyImageNet,mps,2,16,0.001,0.1,26.761370649733863,20.2114839553833,8.197386747629783e-07,2.760174881341415e-07
