tracker,model,dataset,batch_size,epochs_from,epochs_to,psnr_from,psnr_to,delta_psnr,co2_from,co2_to,delta_co2_kg,incremental_AER
codecarbon,DnCNN,TinyImageNet_noisy,8,2,2,27.797746696472167,30.65830570678711,2.860559010314944,0.0001153476924676,0.000270812354362,0.00015546466189440004,18400.059379783615
codecarbon,DnCNN,TinyImageNet_noisy,8,4,4,23.294719793701173,26.433589601135253,3.13886980743408,0.0001064299215994,0.0004814596335838,0.0003750297119844,8369.65634222775
codecarbon,DnCNN,TinyImageNet_noisy,16,1,2,24.68765038757324,23.43230899963379,-1.255341387939449,8.409065657694353e-05,0.000373476183305,0.0002893855267280565,-4337.954983903282
codecarbon,DnCNN,TinyImageNet_noisy,16,3,3,24.80263363647461,23.118465118408203,-1.6841685180664072,0.0001078613655034,0.0002311847189911,0.0001233233534877,-13656.525470939148
codecarbon,DnCNN,TinyImageNet_noisy,16,3,4,23.118465118408203,18.79645860595703,-4.322006512451171,0.0002311847189911,0.0002903034114322,5.9118692441099995e-05,-73107.27511027397
codecarbon,DnCNN,TinyImageNet_noisy,32,1,2,24.72406772455087,22.59860757821665,-2.1254601463342198,7.789669412023849e-05,0.0003551290723016,0.00027723237818136153,-7666.709640039857
codecarbon,DnCNN,TinyImageNet_noisy,32,3,4,21.555807643805068,21.957435126502673,0.40162748269760584,0.0001069413419908,0.0002824872467548,0.00017554590476400004,2287.877254884099
codecarbon,DnCNN,TinyImageNet_noisy,32,4,4,22.310711979485166,30.125463845249943,7.8147518657647765,0.0002799569004006,0.0002807583504163,8.014500157000324e-07,9750766.376788856
cumulator,DnCNN,TinyImageNet_noisy,8,1,2,26.59260909576416,25.894499617004396,-0.6981094787597648,5.769527477688259e-05,9.513792835738923e-05,3.744265358050664e-05,-18644.76504740075
cumulator,DnCNN,TinyImageNet_noisy,8,2,2,25.894499617004396,22.90218111419678,-2.992318502807617,9.513792835738923e-05,0.0004982986526754,0.0004031607243180108,-7422.147849023343
cumulator,DnCNN,TinyImageNet_noisy,8,2,3,21.137155931091307,22.33524750366211,1.198091572570803,0.0001978604970693,0.0007040240379956,0.0005061635409263,2367.004882213062
cumulator,DnCNN,TinyImageNet_noisy,8,3,4,22.33524750366211,30.74558459625244,8.410337092590328,0.0007040240379956,0.0008900827599551,0.0001860587219595,45202.59520228798
cumulator,DnCNN,TinyImageNet_noisy,8,4,4,25.463904539489747,23.947017156982422,-1.5168873825073241,0.0001919016373276,0.0002340225203275,4.212088299989999e-05,-36012.71565249299
cumulator,DnCNN,TinyImageNet_noisy,16,1,2,27.002570196533203,23.53081614074707,-3.471754055786132,0.000123513956103,0.0002037839476492,8.026999154619999e-05,-43250.95828355654
cumulator,DnCNN,TinyImageNet_noisy,16,2,2,23.53081614074707,24.387076458740236,0.8562603179931649,0.0002037839476492,0.0002054067380468,1.6227903975999964e-06,527646.897134417
cumulator,DnCNN,TinyImageNet_noisy,16,2,3,20.89601748352051,22.947376657104492,2.0513591735839825,0.000115028597086,0.0002952597189254,0.0001802311218394,11381.825473027371
cumulator,DnCNN,TinyImageNet_noisy,16,3,4,23.402280950927736,25.238172680664064,1.8358917297363284,0.0001617054640452,0.0003857835471656,0.0002240780831204,8193.089231086828
cumulator,DnCNN,TinyImageNet_noisy,32,2,2,20.94105827770294,25.83484001281543,4.893781735112491,9.177898880375756e-05,0.0004651765272816,0.0003733975384778424,13106.089973335187
eco2ai,DnCNN,TinyImageNet_noisy,8,1,2,26.93772836456299,22.78442981567383,-4.153298548889161,6.417183736309334e-07,1.1116779268208254e-06,4.6995955318989195e-07,-8837565.95796017
eco2ai,DnCNN,TinyImageNet_noisy,8,2,3,22.78442981567383,23.57314400024414,0.7887141845703134,1.1116779268208254e-06,1.489670501093479e-06,3.7799257427265353e-07,2086586.4523608293
eco2ai,DnCNN,TinyImageNet_noisy,8,3,3,23.57314400024414,22.91871207733154,-0.6544319229126003,1.489670501093479e-06,3.5426414291221045e-06,2.0529709280286256e-06,-318773.1077814246
eco2ai,DnCNN,TinyImageNet_noisy,8,3,4,22.91871207733154,28.180265713500976,5.261553636169435,3.5426414291221045e-06,9.691665939965945e-06,6.14902451084384e-06,855672.9001308508
eco2ai,DnCNN,TinyImageNet_noisy,16,1,2,23.290473458862305,21.76887227783203,-1.5216011810302739,6.748465172619773e-07,2.311463149542157e-06,1.6366166322801796e-06,-929723.645121666
eco2ai,DnCNN,TinyImageNet_noisy,16,2,2,20.812168283081053,22.833843743896484,2.0216754608154304,1.0561022964691057e-06,1.2490673517844682e-06,1.929650553153625e-07,10476899.340719536
eco2ai,DnCNN,TinyImageNet_noisy,16,2,4,22.833843743896484,23.618723611450196,0.7848798675537125,1.2490673517844682e-06,8.228335894834633e-06,6.979268543050165e-06,112458.75734861677
eco2ai,DnCNN,TinyImageNet_noisy,16,4,4,23.618723611450196,24.698683804321288,1.0799601928710914,8.228335894834633e-06,8.850398315018448e-06,6.220624201838155e-07,1736096.182360558
eco2ai,DnCNN,TinyImageNet_noisy,32,1,3,22.611252154024264,22.902275243887125,0.2910230898628612,1.3637085338703392e-06,9.269897840176952e-06,7.906189306306613e-06,36809.52714232604
eco2ai,DnCNN,TinyImageNet_noisy,32,3,4,22.902275243887125,19.654416361555885,-3.24785888233124,9.269897840176952e-06,1.192675219543963e-05,2.656854355262678e-06,-1222445.2107801484
eco2ai,DnCNN,TinyImageNet_noisy,32,4,4,26.681055075063497,26.752033708956297,0.07097863389279979,1.9003022803983709e-06,4.467663710125715e-06,2.5673614297273446e-06,27646.52965139301
