trial,model,dataset,device,batch_size,learning_rate,epochs,accuracy,time_sec,energy_kwh,co2_kg,tool,hidden_size,accuracy_pct,energy_wh,co2_g,relative_accuracy,aer_energy,aer_co2,aer_time,aer_relative
22,SimpleNN,MNIST,mps,256,0.0027283828715843,5,0.9742,10.60881781578064,5.8937876754336885e-05,2.144413268209186e-06,CodeCarbon,,97.42,0.058937876754336885,0.0021444132682091857,0.9933720811665137,1652.9268674890202,45429.67600706748,9.182927041605668,16.854561716009176
23,SimpleNN,MNIST,mps,32,0.0023507136429064,3,0.9711,14.93218207359314,8.295656707551744e-05,3.384100158060535e-06,CodeCarbon,,97.11,0.08295656707551743,0.0033841001580605353,0.990211073722851,1170.6125677982593,28695.959180964313,6.503403154434773,11.936500130501267
24,SimpleNN,MNIST,mps,128,0.0033318673372754,5,0.9725,12.558746814727783,6.977081563737657e-05,2.7042919080560117e-06,CodeCarbon,,97.25,0.06977081563737657,0.0027042919080560116,0.9916386254716019,1393.8492636440199,35961.35450847407,7.743607020244554,14.2127996700726
25,SimpleNN,MNIST,mps,128,0.002217791017373,2,0.9677,6.940826892852783,3.856014940473768e-05,1.1709249722189966e-06,CodeCarbon,,96.77,0.03856014940473768,0.0011709249722189966,0.9867441623330273,2509.5857120333244,82644.06541489426,13.942142844629581,25.589739084667322
26,SimpleNN,MNIST,mps,256,0.0006815388589795,3,0.9464,7.616121053695679,4.231178363164266e-05,1.349868359011169e-06,CodeCarbon,,94.64,0.04231178363164266,0.001349868359011169,0.9650249821556031,2236.7291538431846,70110.54031174378,12.426273076906583,22.80747582179244
27,SimpleNN,MNIST,mps,64,0.0003855217811942,4,0.9576,13.08400297164917,7.268890539805094e-05,2.850895204427258e-06,CodeCarbon,,95.76,0.07268890539805095,0.002850895204427258,0.9764453961456102,1317.3949927517779,33589.44932500179,7.318861070843211,13.433210897846209
28,SimpleNN,MNIST,mps,256,0.0001071747663791,5,0.9161,10.601140975952148,5.889522764417861e-05,2.190756959244595e-06,CodeCarbon,,91.61,0.05889522764417861,0.0021907569592445946,0.9341286835933517,1555.4740793850217,41816.59659389532,8.641522663250122,15.860855301162657
29,SimpleNN,MNIST,mps,32,0.0003485550384357,5,0.968,22.165321826934814,0.0001231406768163,9.954202927391663e-06,CodeCarbon,,96.8,0.12314067681629999,0.009954202927391664,0.9870500662791882,786.0928046091971,9724.535525956457,4.367182247828712,8.015629699288233
30,SimpleNN,MNIST,mps,64,0.0002532294473759,6,0.9604,18.266117811203003,0.0001014784322844,1.406026628581187e-05,CodeCarbon,,96.04,0.1014784322844,0.014060266285811869,0.979300499643112,946.4079986064584,6830.5960959582535,5.257822214477157,9.65033138173201
31,SimpleNN,MNIST,mps,64,0.0002264939129812,5,0.9535,15.645840883255005,8.692133824030559e-05,3.686497303572274e-06,CodeCarbon,,95.35,0.08692133824030558,0.003686497303572274,0.9722647088814111,1096.9688448237216,25864.6601769122,6.094271360131787,11.185569948238214
32,SimpleNN,MNIST,mps,256,0.0031515206586337,3,0.9679,7.581192970275879,4.211773872375488e-05,1.34146850952048e-06,CodeCarbon,,96.78999999999999,0.04211773872375488,0.00134146850952048,0.9869480982971346,2298.081590629398,72152.27141977298,12.767119947941097,23.433074239108777
33,SimpleNN,MNIST,mps,32,0.0020543577575548,6,0.9746,25.463310956954956,0.0001414628386497,1.06848250055529e-05,CodeCarbon,,97.46000000000001,0.1414628386497,0.0106848250055529,0.9937799530947282,688.944184425262,9121.347326638488,3.8274676912501095,7.025024823343143
34,SimpleNN,MNIST,mps,32,0.0004968095477378,5,0.9737,22.179773330688477,0.0001232209629482,9.9271846614311e-06,CodeCarbon,,97.37,0.1232209629482,0.0099271846614311,0.9928622412562456,790.2064524599821,9808.420344823442,4.3900358469974305,8.057575736310614
35,SimpleNN,MNIST,mps,128,0.0001805114016295,2,0.9149,6.9236860275268555,3.84649223751492e-05,1.1069265432833026e-06,CodeCarbon,,91.49000000000001,0.038464922375149195,0.0011069265432833027,0.9329050678087081,2378.5307326944826,82652.27765577611,13.214059626080457,24.253397906541064
36,SimpleNN,MNIST,mps,32,0.0003064848868731,4,0.9635,17.769902229309082,9.872167905171712e-05,4.256288668559852e-06,CodeCarbon,,96.35000000000001,0.09872167905171712,0.004256288668559852,0.9824615070867747,975.9761070263537,22637.09243024646,5.422089483479743,9.951831416603993
37,SimpleNN,MNIST,mps,256,0.0036258713836308,4,0.9751,9.069299936294556,5.038499964608086e-05,1.740010183731062e-06,CodeCarbon,,97.50999999999999,0.05038499964608086,0.001740010183731062,0.9942897930049963,1935.298217424612,56039.901899258795,10.751656763470065,19.733845390278493
38,SimpleNN,MNIST,mps,256,0.0004282239122953,3,0.9328,7.59741997718811,4.220788876215617e-05,1.2968712142512969e-06,CodeCarbon,,93.28,0.042207888762156164,0.0012968712142512968,0.9511573365963087,2210.0134059212974,71926.95695219972,12.277852255118319,22.535060731327597
39,SimpleNN,MNIST,mps,256,0.0026199397246822,3,0.9671,7.587682962417603,4.215379423565335e-05,1.2970703689075523e-06,CodeCarbon,,96.71,0.042153794235653345,0.0012970703689075523,0.9861323544407055,2294.2181541087334,74560.33405608768,12.745656411715185,23.39367955652833
40,SimpleNN,MNIST,mps,64,0.0032109759074201,6,0.9738,18.03093123435974,0.0001001718401908,9.605768958983496e-06,CodeCarbon,,97.38,0.1001718401908,0.009605768958983496,0.9929642092382991,972.1294908281378,10137.657944492657,5.400719393484939,9.912608247457303
41,SimpleNN,MNIST,mps,256,0.0003263210179729,2,0.9181,6.144114971160889,3.413397206200494e-05,8.902811354646644e-07,CodeCarbon,,91.81,0.03413397206200494,0.0008902811354646644,0.9361680432344244,2689.695762134731,103124.72806927624,14.942754234081841,27.42628492030928
42,SimpleNN,MNIST,mps,256,0.0034131192983346,6,0.9776,12.155513048171995,6.753062804539999e-05,2.8790148647983273e-06,CodeCarbon,,97.76,0.06753062804539998,0.002879014864798327,0.9968389925563372,1447.6394316113453,33956.059482467455,8.042441286729698,14.761287158268024
43,SimpleNN,MNIST,mps,128,0.0012570379373294,4,0.9697,10.70681881904602,5.948232677247789e-05,2.2186887923402455e-06,CodeCarbon,,96.97,0.05948232677247789,0.0022186887923402454,0.9887835219741,1630.2321254330527,43705.994430033265,9.056845141294737,16.623148010941698
