trial,model,dataset,device,batch_size,learning_rate,epochs,accuracy,time_sec,energy_kwh,co2_kg,tool,hidden_size,accuracy_pct,energy_wh,co2_g,relative_accuracy,aer_energy,aer_co2,aer_time,aer_relative
0,SimpleNN,MNIST,mps,64,0.0051652741510542,5,0.9754,20.93315029144287,1.1360460133281928e-06,3.825225973317891e-07,Eco2AI,256.0,97.54,0.0011360460133281929,0.0003825225973317891,0.9945956969511573,85859.1983560983,254991.4715636959,4.659594883808423,875.4889197114132
1,SimpleNN,MNIST,mps,256,0.0052868379594549,3,0.975,6.755043029785156,3.8082454474836897e-07,1.282289557604023e-07,Eco2AI,256.0,97.5,0.00038082454474836896,0.0001282289557604023,0.9941878250229427,256023.41378606108,760358.6835892213,14.433660832372372,2610.619086224748
2,SimpleNN,MNIST,mps,64,0.0001300035667723,3,0.918,9.46515417098999,5.436461642261748e-07,1.8305327454125226e-07,Eco2AI,64.0,91.8,0.0005436461642261748,0.00018305327454125225,0.9360660752523706,168859.83207601213,501493.35066558595,9.698732671609337,1721.829632670665
3,SimpleNN,MNIST,mps,64,0.000379672009024,2,0.9305,6.853829860687256,3.9382094011974307e-07,1.3260502403147918e-07,Eco2AI,64.0,93.05,0.0003938209401197431,0.0001326050240314792,0.948812073009075,236274.8917609808,701707.9532213712,13.576351017074936,2409.2473922808276
4,SimpleNN,MNIST,mps,128,0.0009729535687592,5,0.9631,11.34040117263794,6.624336968074355e-07,2.2305069978681885e-07,Eco2AI,64.0,96.31,0.0006624336968074355,0.00022305069978681885,0.9820536351585601,145388.1353925095,431785.2402707029,8.492644883884378,1482.4934780514884
5,SimpleNN,MNIST,mps,32,0.0002623541825497,6,0.9672,24.90235280990601,1.44131881575125e-06,4.853122237268664e-07,Eco2AI,128.0,96.72,0.00144131881575125,0.0004853122237268664,0.9862343224227592,67105.20874563565,199294.3826084916,3.883970351649879,684.2582721080416
6,SimpleNN,MNIST,mps,64,0.0017132041170877,6,0.9786,17.301693201065063,9.469254239517492e-07,3.188430472004893e-07,Eco2AI,128.0,97.86,0.0009469254239517492,0.0003188430472004893,0.9978586723768735,103344.9916167701,306922.17020014045,5.656093820573347,1053.788025051189
7,SimpleNN,MNIST,mps,32,0.0014581376971808,4,0.9753,28.11994695663452,1.5086014149115577e-06,5.079672168205302e-07,Eco2AI,256.0,97.53,0.0015086014149115576,0.0005079672168205302,0.9944937289691036,64649.283128053896,192000.5795068037,3.4683564713122306,659.2156941781777
8,SimpleNN,MNIST,mps,256,0.0003511937601107,4,0.9459,8.384943962097168,4.334424847896419e-07,1.459461528234595e-07,Eco2AI,256.0,94.59,0.00043344248478964194,0.0001459461528234595,0.964515142245335,218229.64596077002,648115.7479664345,11.280934067965076,2225.243662289895
9,SimpleNN,MNIST,mps,64,0.0001044179618183,2,0.9075,6.993750095367432,3.6195634972955306e-07,1.2187577034283673e-07,Eco2AI,64.0,90.75,0.00036195634972955307,0.00012187577034283673,0.925359437136739,250720.83986869323,744610.6781087012,12.975871136732724,2556.5498100203245
10,SimpleNN,MNIST,mps,128,0.0011488219308499,2,0.9448,5.658167123794556,2.9385988016656485e-07,9.894673569040473e-08,Eco2AI,64.0,94.48,0.00029385988016656484,9.894673569040474e-05,0.9633934944427449,321513.7770642495,954857.1697768712,16.69798680966471,3278.4111049683847
11,SimpleNN,MNIST,mps,256,0.0005389551906484,6,0.958,10.878690242767334,5.648356507416945e-07,1.901880713038389e-07,Eco2AI,128.0,95.8,0.0005648356507416944,0.0001901880713038389,0.9768532680738247,169606.85798462533,503711.9275843158,8.8062071685231,1729.446905114972
12,SimpleNN,MNIST,mps,64,0.0005085453408151,4,0.956,13.392854928970335,6.995517451749341e-07,2.3554886632483277e-07,Eco2AI,64.0,95.6,0.0006995517451749341,0.00023554886632483278,0.974813908432752,136658.94004180303,405860.5821017333,7.138134513292297,1393.4836345651374
13,SimpleNN,MNIST,mps,64,0.0002672963374918,3,0.9549,13.423374891281128,7.013798802184585e-07,2.361644249878781e-07,Eco2AI,256.0,95.49,0.0007013798802184585,0.00023616442498787808,0.973692260630162,136145.90707999462,404336.9360347196,7.113710283248032,1388.2523409808769
14,SimpleNN,MNIST,mps,128,0.0007140540438438,2,0.9467,5.643259048461914,2.9576203144188185e-07,9.95872166549218e-08,Eco2AI,128.0,94.67,0.00029576203144188185,9.958721665492181e-05,0.965330886101764,320088.415468579,950624.0176190446,16.77576719179719,3263.8769804076574
15,SimpleNN,MNIST,mps,64,0.0004288657464273,2,0.9437,6.904627799987793,3.625950233227589e-07,1.2209082068309942e-07,Eco2AI,128.0,94.37,0.00036259502332275893,0.00012209082068309943,0.962271846640155,260262.81093217834,772949.1821907565,13.6676447643082,2653.8473634361
16,SimpleNN,MNIST,mps,256,0.0078078629309475,6,0.9725,10.64651107788086,5.62713136871101e-07,1.8947339116841589e-07,Eco2AI,64.0,97.25,0.000562713136871101,0.0001894733911684159,0.9916386254716019,172823.4043739355,513264.6827097641,9.13444782883344,1762.2453795649585
17,SimpleNN,MNIST,mps,32,0.0091422789122806,2,0.9613,9.485417127609251,5.021654273718923e-07,1.6908612971209938e-07,Eco2AI,128.0,96.13000000000001,0.0005021654273718924,0.0001690861297120994,0.9802182114815948,191430.9404036457,568526.8221803836,10.134504229676304,1951.9826695589447
18,SimpleNN,MNIST,mps,32,0.0024764910905717,6,0.9779,24.553312063217163,1.303663439174064e-06,4.389617312580558e-07,Eco2AI,128.0,97.78999999999999,0.001303663439174064,0.00043896173125805576,0.997144896502498,75011.69171542837,222775.68415755915,3.9827620708856335,764.8790834651613
19,SimpleNN,MNIST,mps,32,0.0008577397925984,5,0.971,19.985326766967773,1.064851559097709e-06,3.58550427870026e-07,Eco2AI,64.0,97.1,0.001064851559097709,0.000358550427870026,0.9901091057407972,91186.41858615175,270812.67362257506,4.8585645424867,929.8095093927984
20,SimpleNN,MNIST,mps,128,0.0080435345031606,2,0.9647,5.6372458934783936,2.9923278451178705e-07,1.0075586780410186e-07,Eco2AI,64.0,96.47,0.00029923278451178705,0.00010075586780410186,0.9836851228714183,322391.1449321823,957462.8466062661,17.112966477407706,3287.3574480695647
21,SimpleNN,MNIST,mps,256,0.0080509183624926,2,0.9723,5.076406002044678,2.689056261817768e-07,9.05442890141708e-08,Eco2AI,256.0,97.23,0.00026890562618177684,9.054428901417081e-05,0.9914346895074946,361576.6668053042,1073839.1240201006,19.15331436469771,3686.9243071816472
22,SimpleNN,MNIST,mps,256,0.0009419553288275,6,0.974,11.430802822113035,6.079178300456079e-07,2.046944442259768e-07,Eco2AI,256.0,97.39999999999999,0.0006079178300456079,0.0002046944442259768,0.9931681452024063,160219.02169359423,475831.1852004795,8.520836332823311,1633.7210328703397
23,SimpleNN,MNIST,mps,64,0.0001260339176239,3,0.9196,9.469485759735107,5.045150157578367e-07,1.6987726901588425e-07,Eco2AI,64.0,91.96,0.0005045150157578367,0.00016987726901588425,0.9376975629652288,182274.0594982411,541331.9894576439,9.711192596225247,1858.6118027759876
24,SimpleNN,MNIST,mps,64,0.0001184402842749,4,0.9398,17.271528959274292,9.226811793280376e-07,3.106796706162609e-07,Eco2AI,256.0,93.97999999999999,0.0009226811793280376,0.0003106796706162609,0.9582950953400631,101855.33432950583,302498.06758704956,5.441324866003572,1038.5982902978058
25,SimpleNN,MNIST,mps,64,0.0029042901425231,6,0.9761,17.06411600112915,8.692476678538697e-07,2.926878592337479e-07,Eco2AI,128.0,97.61,0.0008692476678538696,0.0002926878592337479,0.9953094728255327,112292.5071987761,333495.2131446156,5.7201908375178085,1145.0240358802498
26,SimpleNN,MNIST,mps,128,0.0001144824725831,3,0.9238,7.678883790969849,3.998053393581813e-07,1.3462005503665065e-07,Eco2AI,256.0,92.38,0.0003998053393581813,0.00013462005503665065,0.9419802182114815,231062.4469105395,686227.6202074743,12.030394327445908,2356.0971439842915
27,SimpleNN,MNIST,mps,128,0.0011552175805652,4,0.969,9.475497245788574,4.96419343459138e-07,1.671513428135002e-07,Eco2AI,128.0,96.89999999999999,0.000496419343459138,0.0001671513428135002,0.9880697460997245,195197.873082027,579714.1582530782,10.226376250921039,1990.3933219335881
28,SimpleNN,MNIST,mps,256,0.0001886510037,4,0.9238,7.904299020767212,4.1417328386614826e-07,1.3945794310370625e-07,Eco2AI,128.0,92.38,0.00041417328386614825,0.00013945794310370624,0.9419802182114815,223046.73816154496,662421.931257818,11.687310887061223,2274.362579397827
29,SimpleNN,MNIST,mps,32,0.0058703283891513,2,0.9654,9.269527196884155,4.86574168144216e-07,1.6383633445251153e-07,Eco2AI,64.0,96.54,0.000486574168144216,0.00016383633445251152,0.9843988987457938,198407.5734398347,589246.5814900323,10.414770672710342,2023.121988781836
30,SimpleNN,MNIST,mps,256,0.0008097337492619,3,0.936,6.277360916137695,3.300257402937253e-07,1.1112428711726145e-07,Eco2AI,64.0,93.60000000000001,0.0003300257402937253,0.00011112428711726145,0.9544203120220252,283614.2414730903,842300.116636345,14.910724626231906,2891.9571884683423
31,SimpleNN,MNIST,mps,128,0.0036519753063557,5,0.9684,11.343201160430908,4.7238409945786466e-07,1.5905833966485546e-07,Eco2AI,64.0,96.84,0.00047238409945786464,0.00015905833966485547,0.9874579382074028,205002.66649774875,608833.2130465283,8.537272559161881,2090.3708218389797
32,SimpleNN,MNIST,mps,256,0.0002809215634583,2,0.9163,4.865062952041626,1.981930063326824e-07,6.67343599343028e-08,Eco2AI,128.0,91.63,0.00019819300633268242,6.673435993430281e-05,0.9343326195574588,462327.11080729,1373055.8004932676,18.8342886625028,4714.2562537706735
33,SimpleNN,MNIST,mps,64,0.0008400909752888,5,0.9763,21.180119037628177,8.004229180361714e-07,2.695136024236315e-07,Eco2AI,256.0,97.63,0.0008004229180361713,0.00026951360242363147,0.9955134087896399,121973.01926278436,362245.16730158037,4.6095113925730296,1243.734263921529
34,SimpleNN,MNIST,mps,128,0.0083573195472595,3,0.9663,7.591598033905029,2.5450481879602194e-07,8.569533555608373e-08,Eco2AI,256.0,96.63000000000001,0.00025450481879602194,8.569533555608373e-05,0.9853166105842766,379678.4691823304,1127599.2954921103,12.728545369293567,3871.5047331735536
35,SimpleNN,MNIST,mps,64,0.0008807635300637,3,0.9572,9.477485179901125,3.171792447528787e-07,1.067986922177208e-07,Eco2AI,64.0,95.72,0.0003171792447528787,0.00010679869221772081,0.9760375242173956,301785.1942821087,896265.6565575196,10.099725632174358,3077.2427274610855
36,SimpleNN,MNIST,mps,32,0.0034958800531848,4,0.9695,17.200349807739258,5.695030992399097e-07,1.9175966655746698e-07,Eco2AI,128.0,96.95,0.0005695030992399098,0.00019175966655746697,0.9885795860099929,170236.12361266307,505580.7706619359,5.636513273490379,1735.8633997416443
37,SimpleNN,MNIST,mps,256,0.0001140628627214,3,0.9124,6.652371883392334,2.1746566003078746e-07,7.322373225160657e-08,Eco2AI,256.0,91.24,0.00021746566003078745,7.322373225160657e-05,0.930355868257367,419560.49514706276,1246044.10611695,13.715408819489019,4278.173703956997
38,SimpleNN,MNIST,mps,32,0.0004785645541012,2,0.9468,9.080254077911375,2.9743301331564e-07,1.0014985964556241e-07,Eco2AI,64.0,94.67999999999999,0.00029743301331564,0.00010014985964556241,0.9654328540838175,318323.77631707035,945383.2520093324,10.427021004876785,3245.88331107444
39,SimpleNN,MNIST,mps,256,0.0002825387296795,2,0.9165,4.968699216842651,2.252889093199429e-07,7.585792981275524e-08,Eco2AI,128.0,91.64999999999999,0.00022528890931994289,7.585792981275524e-05,0.9345365555215661,406810.9711954072,1208179.556523956,18.4454715409879,4148.169381007517
40,SimpleNN,MNIST,mps,32,0.0032963919629135,2,0.9706,15.870434045791626,7.239489124598701e-07,2.437637341100127e-07,Eco2AI,256.0,97.06,0.0007239489124598701,0.0002437637341100127,0.9897012338125828,134070.23386526632,398172.43674235797,6.115774762048015,1367.0871200700144
41,SimpleNN,MNIST,mps,32,0.0036320584281657,5,0.9712,21.210082054138184,9.678066187295069e-07,3.258740378188872e-07,Eco2AI,128.0,97.11999999999999,0.0009678066187295068,0.00032587403781888716,0.9903130417049045,100350.62596233819,298029.26508056745,4.578954468544898,1023.2550827198755
42,SimpleNN,MNIST,mps,32,0.0096135089980456,3,0.9569,13.502565145492554,6.159648696757358e-07,2.074039951279957e-07,Eco2AI,128.0,95.69,0.0006159648696757358,0.0002074039951279957,0.9757316202712347,155349.76864893993,461370.0904890796,7.0868015794719845,1584.070242163148
43,SimpleNN,MNIST,mps,32,0.0023529877395193,5,0.9739,21.285675048828125,9.747304904900982e-07,3.282054023748829e-07,Eco2AI,128.0,97.39,0.0009747304904900981,0.0003282054023748829,0.9930661772203527,99914.79793663985,296734.9083692387,4.575377561509931,1018.8110322895874
44,SimpleNN,MNIST,mps,256,0.001187537320796,5,0.9583,9.212590217590332,4.236360817636372e-07,1.4264419963496133e-07,Eco2AI,64.0,95.83,0.00042363608176363717,0.00014264419963496132,0.9771591720199856,226208.30501748252,671811.4037951571,10.402069096379012,2306.6004386405884
45,SimpleNN,MNIST,mps,128,0.0064814163318409,5,0.9676,11.338692903518677,5.223586685588089e-07,1.7588547672511078e-07,Eco2AI,64.0,96.76,0.0005223586685588089,0.00017588547672511078,0.9866421943509738,185236.707695426,550130.6975517087,8.533611486203403,1888.821328596166
46,SimpleNN,MNIST,mps,32,0.000270247871045,5,0.9538,20.10767698287964,9.267415610626512e-07,3.120468579916495e-07,Eco2AI,64.0,95.38,0.0009267415610626511,0.0003120468579916495,0.9725706128275721,102919.73944778329,305659.222508667,4.74346191662069,1049.4518144976373
47,SimpleNN,MNIST,mps,64,0.0028845165632822,3,0.976,9.4285569190979,4.333681696220992e-07,1.4592112986613554e-07,Eco2AI,128.0,97.6,0.0004333681696220992,0.00014592112986613553,0.995207504843479,225212.66406138698,668854.4701479207,10.35153108131611,2296.4480887262866
48,SimpleNN,MNIST,mps,64,0.0009893766774671,2,0.9596,6.946446180343628,3.196047319590889e-07,1.0761538771687265e-07,Eco2AI,128.0,95.96000000000001,0.0003196047319590889,0.00010761538771687265,0.978484755786683,300245.8674869789,891694.0414921236,13.814258040541393,3061.546522759038
49,SimpleNN,MNIST,mps,128,0.0049563470310717,2,0.9646,5.6232287883758545,2.586363600494224e-07,8.708648333768123e-08,Eco2AI,64.0,96.46000000000001,0.0002586363600494224,8.708648333768124e-05,0.9835831548893648,372956.0684412959,1107634.5754595762,17.153845882884724,3802.957769361638
0,,,mps,256,0.0006055956577659,6,0.958,9.28010106086731,5.155611700481838e-05,1.2012575262122684e-05,Cumulator,128.0,95.8,0.05155611700481838,0.012012575262122684,0.9768532680738247,1858.1694193735852,7974.97604881367,10.323163440964361,18.947378600729937
1,,,mps,32,0.0016151521521609,5,0.975,20.041801929473877,0.0001113433440526,2.5942999164263405e-05,Cumulator,128.0,97.5,0.1113433440526,0.025942999164263406,0.9941878250229427,875.6697657108248,3758.2393378135966,4.864832031725378,8.929027895491227
2,,,mps,256,0.0015970270061112,2,0.9607,3.546591281890869,1.9703279601203072e-05,4.590864147080316e-06,Cumulator,256.0,96.07,0.01970327960120307,0.004590864147080316,0.9796064035892729,4875.838030240104,20926.343477425336,27.08798177296036,49.717936476395465
3,,,mps,32,0.0008538085944139,2,0.9702,16.195261001586914,8.997366693284776e-05,2.096386439535353e-05,Cumulator,256.0,97.02,0.08997366693284777,0.02096386439535353,0.9892933618843682,1078.3155039397393,4627.963536222057,5.990641335789116,10.995365595388389
4,,,mps,64,0.0004514670869796,3,0.9545,8.031498908996582,4.461943970786201e-05,1.0396329451931847e-05,Cumulator,128.0,95.45,0.04461943970786201,0.010396329451931847,0.9732843887019476,2139.2021196353476,9181.124976975741,11.884456572991688,21.81301233440754
5,,,mps,256,0.0001277747348731,4,0.9171,6.267624855041504,3.482013278537326e-05,8.11309093899197e-06,Cumulator,128.0,91.71000000000001,0.03482013278537326,0.00811309093899197,0.9351483634138881,2633.8210875095865,11303.953165277197,14.632337148613964,26.856542138366333
6,,,mps,256,0.0022069819735575,2,0.9625,3.46443510055542,1.9246856371561685e-05,4.484517534573873e-06,Cumulator,256.0,96.25,0.019246856371561684,0.0044845175345738725,0.9814418272662383,5000.816660232099,21462.732447348066,27.782307131274923,50.992318346406634
7,,,mps,256,0.0012144056553446,4,0.9574,6.380316972732544,3.5446200105879043e-05,8.258964624669817e-06,Cumulator,64.0,95.74000000000001,0.035446200105879046,0.008258964624669816,0.976241460181503,2700.9947389006793,11592.252098286179,15.005524084330368,27.541498306318744
8,,,mps,64,0.0004566281038973,4,0.9516,10.699444055557253,5.944134924146864e-05,1.3849834373262194e-05,Cumulator,64.0,95.16,0.05944134924146864,0.013849834373262194,0.9703273172223921,1600.9057872059977,6870.840288437758,8.89392004910519,16.324113257938183
9,,,mps,32,0.0020855646268929,3,0.9723,12.116011142730711,6.731116639243232e-05,1.5683501769436733e-05,Cumulator,128.0,97.23,0.06731116639243233,0.015683501769436732,0.9914346895074946,1444.48544292246,6199.508338723003,8.024918337776162,14.72912657206546
10,,,mps,128,0.000421639382106,6,0.9605,11.639169931411743,6.466204457812839e-05,1.5066256386703917e-05,Cumulator,128.0,96.05,0.0646620445781284,0.015066256386703917,0.9794024676251656,1485.4154493049919,6375.173602167346,8.252306699361839,15.14648158769238
11,,,mps,128,0.0004854342932018,5,0.9518,9.618421077728271,5.343567132949829e-05,1.2450511419773102e-05,Cumulator,64.0,95.17999999999999,0.053435671329498294,0.012450511419773103,0.9705312531864992,1781.2071530475453,7644.665892907919,9.895595049419493,18.162609901575863
12,,,mps,256,0.0001505943928011,4,0.9165,6.340903997421265,3.522723913192749e-05,8.207946717739105e-06,Cumulator,128.0,91.64999999999999,0.03522723913192749,0.008207946717739105,0.9345365555215661,2601.6799005101393,11166.008156695876,14.453775051202864,26.528804940452115
13,,,mps,128,0.0015295699269129,3,0.9687,6.248897075653076,3.4716088242001004e-05,8.088848560386235e-06,Cumulator,128.0,96.87,0.034716088242001,0.008088848560386235,0.9877638421535637,2790.3489392218607,11975.746520265495,15.501935593950563,28.452625055795455
14,,,mps,64,0.0024732205318064,3,0.9715,8.5690438747406,4.760579400592381e-05,1.1092150003380246e-05,Cumulator,64.0,97.15,0.04760579400592381,0.011092150003380246,0.9906189456510656,2040.7179846199222,8758.446285922413,11.33732087501313,20.80878948322547
15,,,mps,256,0.0003053563973984,2,0.9163,3.5858678817749023,1.9921482933892144e-05,4.641705523596869e-06,Cumulator,128.0,91.63,0.019921482933892145,0.004641705523596869,0.9343326195574588,4599.557186785083,19740.588784485335,25.553088686202727,46.90075646767699
16,,,mps,32,0.0016953003508751,3,0.9739,12.310296773910522,6.839053233464559e-05,1.5934994033972424e-05,Cumulator,128.0,97.39,0.06839053233464559,0.015934994033972423,0.9930661772203527,1424.0275177776869,6111.706084882777,7.911263374771007,14.520521237663779
17,,,mps,64,0.0037079607299123,6,0.9748,15.946960926055908,8.859422206878662e-05,2.064245374202728e-05,Cumulator,128.0,97.48,0.08859422206878662,0.02064245374202728,0.9939838890588355,1100.2974880722386,4722.306815760681,6.112763457062618,11.219511451740987
18,,,mps,256,0.0001464270355098,2,0.897,3.198829889297486,1.7771266566382513e-05,4.140705109967125e-06,Cumulator,128.0,89.7,0.017771266566382515,0.004140705109967125,0.9146527990211073,5047.47366570278,21662.977106020517,28.04150364485295,51.46807041605771
19,,,mps,128,0.0074337590424763,6,0.9685,11.438030004501345,6.354461113611857e-05,1.4805894394715626e-05,Cumulator,64.0,96.85000000000001,0.06354461113611858,0.014805894394715627,0.9875599061894565,1524.126094540702,6541.313710475117,8.467367191892789,15.541206225560334
20,,,mps,128,0.0001095391192034,2,0.8957,3.971334934234619,2.206296788321601e-05,5.140671516789331e-06,Cumulator,64.0,89.57000000000001,0.02206296788321601,0.00514067151678933,0.9133272152544101,4059.743932643745,17423.79370233367,22.55412889702855,41.39638964661716
21,,,mps,64,0.0026057474654932,5,0.9753,14.51932692527771,8.066292736265395e-05,1.8794462075498368e-05,Cumulator,128.0,97.53,0.08066292736265394,0.01879446207549837,0.9944937289691036,1209.1056348787477,5189.294570295054,6.717253527104154,12.329006167826527
22,,,mps,256,0.0014563729457483,6,0.9726,10.047789096832275,5.5821050537957086e-05,1.3006304775344e-05,Cumulator,128.0,97.26,0.055821050537957086,0.013006304775344,0.9917405934536555,1742.3534502251143,7477.911803541264,9.679741390139524,17.766426534364374
23,,,mps,64,0.0001306592696423,5,0.9469,16.61497712135315,9.2305416531033e-05,2.1507162051730686e-05,Cumulator,256.0,94.69,0.09230541653103301,0.021507162051730686,0.9655348220658713,1025.8336244890384,4402.719418407892,5.699074955589725,10.460218461191378
24,,,mps,128,0.0002794848144943,3,0.9344,6.089724063873291,3.383179505666097e-05,7.882808248202006e-06,Cumulator,128.0,93.44,0.03383179505666097,0.007882808248202006,0.9527888243091668,2761.898972357456,11853.643658186507,15.343880776852258,28.16252648472984
25,,,mps,32,0.0078503532179447,5,0.9676,39.6654257774353,0.0002203634712431,5.134468879964616e-05,Cumulator,256.0,96.76,0.2203634712431,0.05134468879964616,0.9866421943509738,439.0927382572249,1884.5181899450292,2.4394040427783437,4.477340045449423
26,,,mps,64,0.0029875733482354,6,0.9715,15.209566116333008,8.449758821063572e-05,1.9687938053078123e-05,Cumulator,128.0,97.15,0.08449758821063572,0.019687938053078124,0.9906189456510656,1149.7369576729734,4934.4933805707005,6.387427442501078,11.723635746639882
27,,,mps,32,0.0010027137566817,5,0.9807,40.325299978256226,0.0002240294390254,5.2198859292931024e-05,Cumulator,256.0,98.07000000000001,0.2240294390254,0.05219885929293103,1.0,437.7549683944931,1878.776688387921,2.431971989120484,4.4636990761139295
28,,,mps,32,0.0002494119568172,3,0.9406,10.929232835769652,6.071795490052965e-05,1.4147283491823409e-05,Cumulator,64.0,94.06,0.06071795490052965,0.014147283491823408,0.9591108391964922,1549.129909828032,6648.626222437905,8.606276525846946,15.796165084409418
29,,,mps,64,0.0001302769256477,5,0.9506,20.16417407989502,0.00011202318271,2.610140157143275e-05,Cumulator,256.0,95.06,0.11202318271,0.026101401571432748,0.9693076374018558,848.5743548822976,3641.9500209536836,4.714301692861348,8.652741458981314
30,,,mps,64,0.0002888751780062,3,0.9331,7.694748878479004,4.27485982577006e-05,9.96042339404424e-06,Cumulator,64.0,93.31,0.0427485982577006,0.00996042339404424,0.9514632405424697,2182.7616296913648,9368.075663911437,12.126451619619884,22.25717986837325
31,,,mps,128,0.0003583888002766,4,0.9363,7.708967208862305,4.282758368386163e-05,9.97882699833976e-06,Cumulator,64.0,93.63,0.04282758368386163,0.00997882699833976,0.9547262159681859,2186.2078582612594,9382.866344468925,12.145595831872527,22.292320365670026
32,,,mps,32,0.000100744767897,2,0.9162,7.404829978942871,4.113786750369602e-05,9.585123128361172e-06,Cumulator,64.0,91.62,0.04113786750369602,0.009585123128361172,0.9342306515754053,2227.1450991417687,9558.562657260809,12.373005222340009,22.709749150012932
33,,,mps,64,0.000229664033031,4,0.9585,15.915624856948853,8.842013279596964e-05,2.0601890941460925e-05,Cumulator,256.0,95.85000000000001,0.08842013279596964,0.020601890941460924,0.977363107984093,1084.0291341924906,4652.485554474209,6.022383717982103,11.053626330095753
34,,,mps,64,0.0001433692657412,5,0.9518,20.07214379310608,0.0001115119046635,2.598227378659778e-05,Cumulator,256.0,95.17999999999999,0.1115119046635,0.02598227378659778,0.9705312531864992,853.5411558722506,3663.2667633998954,4.741895085102481,8.703386926402064
35,,,mps,64,0.0001129029156622,5,0.927,12.615234851837158,7.008463409211901e-05,1.632971974346373e-05,Cumulator,64.0,92.7,0.07008463409211901,0.01632971974346373,0.9452431936371979,1322.686508973642,5676.766132934086,7.348257966557007,13.487167420960967
36,,,mps,64,0.0030677812793642,6,0.9775,23.28725504875183,0.0001293736325369,3.0144056381119623e-05,Cumulator,256.0,97.75,0.1293736325369,0.030144056381119624,0.9967370245742836,755.5635416831918,3242.761981470568,4.19757501669306,7.704328965873272
37,,,mps,128,0.000189055817221,5,0.937,9.517815113067629,5.287673870722453e-05,1.2320280118783316e-05,Cumulator,128.0,93.7,0.05287673870722453,0.012320280118783316,0.9554399918425613,1772.0457481088524,7605.346558407091,9.844696381142471,18.069192904138394
38,,,mps,128,0.0001119960933575,4,0.9208,7.732913017272949,4.29606212510003e-05,1.000982475148307e-05,Cumulator,128.0,92.08,0.0429606212510003,0.010009824751483069,0.9389211787498725,2143.3582038308164,9198.962248200929,11.907543741190622,21.855391086273233
39,,,mps,256,0.0035135459220446,2,0.9525,3.160585880279541,1.755881044599745e-05,4.091202833917406e-06,Cumulator,64.0,95.25,0.01755881044599745,0.004091202833917406,0.9712450290608748,5424.62715757105,23281.661620476607,30.136817542061387,55.31382846508667
40,,,mps,32,0.0001230596694706,6,0.9508,22.351721048355103,0.0001241762227482,2.8933059900336795e-05,Cumulator,128.0,95.08,0.12417622274819999,0.028933059900336795,0.9695115733659629,765.6860379204782,3286.2061713318203,4.253811140283405,7.8075460173394315
41,,,mps,64,0.0077638908318337,4,0.9647,10.17298936843872,5.651660097969903e-05,1.3168368028269874e-05,Cumulator,64.0,96.47,0.05651660097969903,0.013168368028269874,0.9836851228714183,1706.932093008431,7325.888811194982,9.482954961035759,17.405242102665756
42,,,mps,256,0.0006462114579568,6,0.9593,9.09813117980957,5.054516659842597e-05,1.1777023817433253e-05,Cumulator,128.0,95.93,0.05054516659842597,0.011777023817433252,0.9781788518405221,1897.9064954350624,8145.52143963546,10.543923593109577,19.3525695466
43,,,mps,128,0.0008421925239799,3,0.9479,5.780375957489014,3.2113194465637206e-05,7.482374310493469e-06,Cumulator,64.0,94.78999999999999,0.03211319446563721,0.007482374310493469,0.9665545018864076,2951.746208289251,12668.438662185628,16.398587340532885,30.0983604393724
44,,,mps,256,0.0001664360112879,5,0.9266,7.623294115066528,4.235162734985352e-05,9.86792917251587e-06,Cumulator,128.0,92.66,0.04235162734985352,0.009867929172515869,0.9448353217089833,2187.8734253719413,9390.014701167129,12.154850462461969,22.309303817395136
45,,,mps,128,0.0004394135148611,5,0.9568,9.569438934326172,5.316353771421644e-05,1.2387104287412433e-05,Cumulator,128.0,95.67999999999999,0.05316353771421644,0.012387104287412432,0.9756296522891811,1799.7297417326358,7724.161981685131,9.998496323205522,18.35148100063868
46,,,mps,64,0.001228462309631,5,0.9759,20.04454493522644,0.0001113585776752,2.5946548598342472e-05,Cumulator,256.0,97.59,0.11135857767520001,0.025946548598342473,0.9951055368614254,876.3581758797345,3761.193887892831,4.86865630102156,8.93604747506612
47,,,mps,32,0.0015952278800905,4,0.9736,14.368788957595823,7.98265986972385e-05,1.8599597496456577e-05,Cumulator,64.0,97.36,0.0798265986972385,0.018599597496456576,0.9927602732741918,1219.6435973585837,5234.521877075465,6.775797200955634,12.436459644729108
48,,,mps,128,0.0083519705102996,5,0.9679,9.465797901153564,5.2587759494781495e-05,1.2252947962284088e-05,Cumulator,64.0,96.78999999999999,0.0525877594947815,0.012252947962284088,0.9869480982971346,1840.542379631231,7899.323517730605,10.225234154661651,18.76763923351923
49,,,mps,64,0.0003261061289724,6,0.9726,23.70806121826172,0.0001317114445898,3.0688766589429645e-05,Cumulator,256.0,97.26,0.1317114445898,0.030688766589429647,0.9917405934536555,738.4324141528094,3169.2378289813696,4.102402094570394,7.529646315415615
