tool,trial,model,dataset,device,batch_size,learning_rate,epochs,accuracy,time_sec,energy_kwh,co2_kg,hidden_size,accuracy_pct,energy_wh,co2_g,relative_accuracy,aer_energy,aer_co2,aer_time,aer_relative
CarbonTracker,24,SimpleNN,MNIST,mps,256,0.0021407492702299,2,0.9566,3.330540895462036,6.253101e-06,1.79797605e-06,,95.66,0.006253101,0.00179797605,0.9754257163250738,15298.009739487656,53204.26821035797,28.72206137157471,155.9907182572413
CodeCarbon,41,SimpleNN,MNIST,mps,256,0.0003263210179729,2,0.9181,6.144114971160889,3.413397206200494e-05,8.902811354646644e-07,,91.81,0.03413397206200494,0.0008902811354646644,0.9361680432344244,2689.695762134731,103124.72806927624,14.942754234081841,27.42628492030928
Cumulator,39,,,mps,256,0.0035135459220446,2,0.9525,3.160585880279541,1.755881044599745e-05,4.091202833917406e-06,64.0,95.25,0.01755881044599745,0.004091202833917406,0.9712450290608748,5424.62715757105,23281.661620476607,30.136817542061387,55.31382846508667
Eco2AI,32,SimpleNN,MNIST,mps,256,0.0002809215634583,2,0.9163,4.865062952041626,1.981930063326824e-07,6.67343599343028e-08,128.0,91.63,0.00019819300633268242,6.673435993430281e-05,0.9343326195574588,462327.11080729,1373055.8004932676,18.8342886625028,4714.2562537706735
