tool,trial,device,batch_size,learning_rate,epochs,channels,noise_factor,psnr,time_sec,energy_kwh,co2_kg,noise_std,energy_wh,co2_g,relative_psnr,aer_energy,aer_co2,aer_time,aer_relative
CarbonTracker,16,mps,32,0.0013953730704626,1,32,,26.802665198572907,6.6686317920684814,1.1781988e-05,3.387716222e-06,0.0805856792078299,0.011781988,0.003387716222,0.8839583804242097,2274.884781632175,7911.720888696358,4.019215040550205,75.02625027492896
CodeCarbon,4,mps,32,0.0001602037321941,1,32,0.0891621156123252,22.766730299392066,13.8058979511261,1.0010545667776217e-05,3.310667642155615e-06,,0.010010545667776217,0.003310667642155615,0.7508522713657942,2274.274655444388,6876.779175746067,1.6490582778453073,75.00612816569785
Cumulator,8,mps,32,0.0002948589439104,1,32,0.1144251130529903,24.104684232522885,8.834256887435913,4.907919963200887e-05,1.1435453514258069e-05,,0.04907919963200887,0.011435453514258068,0.7949783156621463,491.1384947851125,2107.8905355584225,2.7285468986989256,16.197866338954533
Eco2AI,17,mps,32,0.0028518970391028,1,32,,25.545639287930328,10.34491491317749,2.562416392822797e-07,8.628014732929351e-08,0.1080677475567584,0.0002562416392822797,8.628014732929352e-05,0.8425013618818132,99693.55238080124,296077.83573240566,2.4693909522049284,3287.9174682210833
