trial,device,batch_size,learning_rate,epochs,channels,noise_factor,psnr,time_sec,energy_kwh,co2_kg,tool,noise_std,energy_wh,co2_g,relative_psnr,aer_energy,aer_co2,aer_time,aer_relative
0,mps,32,0.007044828991441,3,64,0.2455630082087796,11.226295416347517,35.86023712158203,7.192240226058839e-05,2.378603303081727e-05,CodeCarbon,,0.07192240226058838,0.02378603303081727,0.37024593789003696,156.08899401986795,471.97005914364485,0.3130569209089561,5.1478527726113255
1,mps,8,0.000195624616718,4,64,0.1405104102301937,24.92032295074463,63.87364101409912,9.485125393181216e-05,3.136901699782105e-05,CodeCarbon,,0.09485125393181217,0.03136901699782105,0.821878277849823,262.7305588248697,794.4247329291716,0.3901503430068102,8.664917370946567
2,mps,8,0.0007022571820292,2,64,0.0962563816098287,27.0814197555542,34.406835079193115,6.488553431740949e-05,2.145881413838503e-05,CodeCarbon,,0.0648855343174095,0.021458814138385032,0.8931517731297296,417.3722238777644,1262.018468537438,0.7870941832697417,13.765036884193265
3,mps,16,0.0005075190909565,2,64,0.1084755833108012,26.216233212280272,33.80093312263489,5.922204233185712e-05,1.9585795395907124e-05,CodeCarbon,,0.05922204233185712,0.019585795395907123,0.8646177116887815,442.6769523647086,1338.532986909417,0.7756067892316411,14.599592949594724
4,mps,32,0.0001602037321941,1,32,0.0891621156123252,22.766730299392066,13.8058979511261,1.0010545667776217e-05,3.310667642155615e-06,CodeCarbon,,0.010010545667776217,0.003310667642155615,0.7508522713657942,2274.274655444388,6876.779175746067,1.6490582778453073,75.00612816569785
5,mps,16,0.0009613612955035,3,64,0.1407240833592526,24.731886932373047,38.112403869628906,5.554788957463239e-05,1.8370686944343276e-05,CodeCarbon,,0.05554788957463239,0.018370686944343274,0.8156636123910238,445.2354017724483,1346.2690321435434,0.6489196277666822,14.683971229818262
6,mps,32,0.0001411621075677,1,64,0.2965595882302561,19.775939228435675,16.206897020339966,1.129760740306425e-05,3.736322125126603e-06,CodeCarbon,,0.011297607403064252,0.003736322125126603,0.6522152585283335,1750.4537485584642,5292.889254768305,1.2202174915788317,57.73038797147731
7,mps,8,0.0004392765142665,1,128,0.1345026374733665,25.02998435974121,38.08381223678589,5.252117604711381e-05,1.7369698299949385e-05,CodeCarbon,,0.05252117604711381,0.017369698299949384,0.8254949376399403,476.5693810300099,1441.0143416143358,0.657234212901729,15.717373443797888
8,mps,16,0.0044060958206656,1,128,0.2610845673649009,20.396763330078127,37.04672527313232,6.598598792340842e-05,2.1822753954053787e-05,CodeCarbon,,0.06598598792340842,0.021822753954053788,0.6726901875456686,309.1074934538096,934.6557896873154,0.5505685908727439,10.194439891185336
9,mps,16,0.0014378442715801,1,64,0.132423364835242,24.426181756591795,19.71836805343628,3.684591414270583e-05,1.2185607033447388e-05,CodeCarbon,,0.036845914142705834,0.012185607033447388,0.8055813817595238,662.9278259181772,2004.510870040872,1.2387527046050393,21.86352002665674
